ncm,capitulo,marca_aec,res_1_2022_agosto,res_26_2022_octubre,entrada,salida
4802.57.99,48,,no,si,2022-10-04,2023-12-27
4802.58.10,48,,no,si,2022-10-04,2023-12-27
4802.58.91,48,,no,si,2022-10-04,2023-12-27
4802.58.92,48,,no,si,2022-10-04,2023-12-27
4802.58.99,48,,no,si,2022-10-04,2023-12-27
4802.61.10,48,,no,si,2022-10-04,2023-12-27
4802.61.91,48,,no,si,2022-10-04,2023-12-27
4802.61.92,48,,no,si,2022-10-04,2023-12-27
4802.61.99,48,,no,si,2022-10-04,2023-12-27
4802.62.10,48,,no,si,2022-10-04,2023-12-27
4802.62.91,48,,no,si,2022-10-04,2023-12-27
4802.62.92,48,,no,si,2022-10-04,2023-12-27
4802.62.99,48,,no,si,2022-10-04,2023-12-27
4802.69.10,48,,no,si,2022-10-04,2023-12-27
4802.69.91,48,,no,si,2022-10-04,2023-12-27
4802.69.92,48,,no,si,2022-10-04,2023-12-27
4802.69.99,48,,no,si,2022-10-04,2023-12-27
4803.00.10,48,,no,si,2022-10-04,2023-12-27
4803.00.90,48,,no,si,2022-10-04,2023-12-27
4804.11.00,48,,si,si,2022-08-25,2023-12-27
4804.19.00,48,,no,si,2022-10-04,2023-12-27
4804.21.00,48,,si,si,2022-08-25,2023-12-27
4804.29.00,48,,no,si,2022-10-04,2023-12-27
4804.31.10,48,,no,si,2022-10-04,2023-12-27
4804.31.90,48,,no,si,2022-10-04,2023-12-27
4804.39.10,48,,no,si,2022-10-04,2023-12-27
4804.39.90,48,,no,si,2022-10-04,2023-12-27
4804.41.00,48,,no,si,2022-10-04,2023-12-27
4804.42.00,48,,no,si,2022-10-04,2023-12-27
4804.49.00,48,,no,si,2022-10-04,2023-12-27
4804.51.00,48,,no,si,2022-10-04,2023-12-27
4804.52.00,48,,no,si,2022-10-04,2023-12-27
4804.59.10,48,,no,si,2022-10-04,2023-12-27
4804.59.90,48,,no,si,2022-10-04,2023-12-27
4805.11.00,48,,no,si,2022-10-04,2023-12-27
4805.12.00,48,,no,si,2022-10-04,2023-12-27
4805.19.00,48,,si,si,2022-08-25,2023-12-27
4805.24.00,48,,si,si,2022-08-25,2023-12-27
4805.25.00,48,,si,si,2022-08-25,2023-12-27
4805.30.00,48,,no,si,2022-10-04,2023-12-27
4805.40.10,48,,no,si,2022-10-04,2023-12-27
4805.40.90,48,,no,si,2022-10-04,2023-12-27
4805.50.00,48,,no,si,2022-10-04,2023-12-27
4805.91.00,48,,si,si,2022-08-25,2023-12-27
4805.92.10,48,,no,si,2022-10-04,2023-12-27
4805.92.90,48,,no,si,2022-10-04,2023-12-27
4805.93.00,48,,si,si,2022-08-25,2023-12-27
4806.10.00,48,,no,si,2022-10-04,2023-12-27
4806.20.00,48,,no,si,2022-10-04,2023-12-27
4806.30.00,48,,no,si,2022-10-04,2023-12-27
4806.40.00,48,,no,si,2022-10-04,2023-12-27
4807.00.00,48,,si,si,2022-08-25,2023-12-27
4808.10.00,48,,no,si,2022-10-04,2023-12-27
4808.40.00,48,,no,si,2022-10-04,2023-12-27
4808.90.00,48,,no,si,2022-10-04,2023-12-27
4809.20.00,48,,no,si,2022-10-04,2023-12-27
4809.90.00,48,,no,si,2022-10-04,2023-12-27
4810.13.10,48,,no,si,2022-10-04,2023-12-27
4810.13.81,48,,no,si,2022-10-04,2023-12-27
4810.13.82,48,,no,si,2022-10-04,2023-12-27
4810.13.89,48,,no,si,2022-10-04,2023-12-27
4810.13.91,48,,no,si,2022-10-04,2023-12-27
4810.13.99,48,,no,si,2022-10-04,2023-12-27
4810.14.10,48,,no,si,2022-10-04,2023-12-27
4810.14.81,48,,no,si,2022-10-04,2023-12-27
4810.14.82,48,,no,si,2022-10-04,2023-12-27
4810.14.89,48,,no,si,2022-10-04,2023-12-27
4810.14.90,48,,no,si,2022-10-04,2023-12-27
4810.19.10,48,,no,si,2022-10-04,2023-12-27
4810.19.81,48,,no,si,2022-10-04,2023-12-27
4810.19.82,48,,no,si,2022-10-04,2023-12-27
4810.19.89,48,,no,si,2022-10-04,2023-12-27
4810.19.91,48,,no,si,2022-10-04,2023-12-27
4810.19.99,48,,no,si,2022-10-04,2023-12-27
4810.22.10,48,,no,si,2022-10-04,2023-12-27
4810.22.90,48,,no,si,2022-10-04,2023-12-27
4810.29.10,48,,no,si,2022-10-04,2023-12-27
4810.29.90,48,,no,si,2022-10-04,2023-12-27
4810.31.10,48,,no,si,2022-10-04,2023-12-27
4810.31.90,48,,no,si,2022-10-04,2023-12-27
4810.32.10,48,,no,si,2022-10-04,2023-12-27
4810.32.90,48,,no,si,2022-10-04,2023-12-27
4810.39.10,48,,no,si,2022-10-04,2023-12-27
4810.39.90,48,,no,si,2022-10-04,2023-12-27
4810.92.10,48,,no,si,2022-10-04,2023-12-27
4810.92.90,48,,si,si,2022-08-25,2023-12-27
4810.99.10,48,,no,si,2022-10-04,2023-12-27
4810.99.90,48,,no,si,2022-10-04,2023-12-27
4811.10.10,48,,no,si,2022-10-04,2023-12-27
4811.10.90,48,,no,si,2022-10-04,2023-12-27
4811.41.10,48,,no,si,2022-10-04,2023-12-27
4811.41.90,48,,no,si,2022-10-04,2023-12-27
4811.49.10,48,,no,si,2022-10-04,2023-12-27
4811.49.90,48,,no,si,2022-10-04,2023-12-27
4811.51.10,48,,no,si,2022-10-04,2023-12-27
4811.51.21,48,,no,si,2022-10-04,2023-12-27
4811.51.22,48,,no,si,2022-10-04,2023-12-27
4811.51.23,48,,no,si,2022-10-04,2023-12-27
4811.51.28,48,,no,si,2022-10-04,2023-12-27
4811.51.29,48,,no,si,2022-10-04,2023-12-27
4811.51.30,48,,no,si,2022-10-04,2023-12-27
4811.59.10,48,,no,si,2022-10-04,2023-12-27
4811.59.21,48,,no,si,2022-10-04,2023-12-27
4811.59.22,48,,no,si,2022-10-04,2023-12-27
4811.59.23,48,,no,si,2022-10-04,2023-12-27
